question,answer
"LL issue,power issue,informed to try after sometime and call back if still it is not working .","Thanks for reporting this. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
My BT App blocked .Sent mail,"We understand your concern. For your mobile request, we have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
Call forwarded to mam Dechen pelden .,"We understand your concern. For your connection concern, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
prank call,"Sorry this happened. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
LL gate way down down due to power supply issue,We regret the trouble caused. Our internet support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
e-sim enquiry,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
rate plain changed,"We appreciate you bringing this to our attention. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Informed to try by changing device,"We hear you, and we are here to help. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
1599-12-31 00:00:00,"We understand your concern. Support has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Forwarded to complaint handeling,"Thank you for your patience. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim activation code number provided,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"fixed call through internet info, call forwarded to 02322122",We understand this can be frustrating. We already have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
Data usage details provided,"We hear you, and we are here to help. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Rate plan changed from voice 200 and data 799 to voice 200 and data199 as per customer request. For customer number;17150311,"We understand this can be frustrating. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"ISP017563,,isp number provided","We understand your concern. Our internet support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
sim enquiry,"We understand your concern. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Number provided,"Sorry this happened. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
suggested replacement for 4G upgrade,"Thanks for reporting this. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Date convert,"Apologies for the disruption. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
incoming not working to 17464497.number temporary suspended.,"We understand this can be frustrating. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Informed to dial *180# for new sim activation,"Apologies for the disruption. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Data reversal enquiry,"Sorry this happened. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Inform sir to call nima sir...motithang sector,"Sorry this happened. Our internet support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"Current sim is 3g, informed to replace sim for 4g","Thanks for reporting this. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
0179-12-31 00:00:00,"We understand your concern. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"incoming issue even after resetting from backend , so informed to replace","We understand your concern. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"leaseline disconnection enqury informed to mail to bcrm,cans@bt.bt","Your concern is valid, and we are checking it now. For internet service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Inform him the usage details,"Sorry this happened. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Inquiry about Bngul registration,"We regret the trouble caused. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
0798-12-31 00:00:00,"We regret the trouble caused. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17150672 data plan change from 1599 to 2499 as per customers request la,"Thanks for reporting this. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
iphone info,"Sorry this happened. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
ISP011614 RTC customer number 17829920,"We understand your concern. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
deactivation of data notification.set mail,"We understand this can be frustrating. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
suggested replacement,"We appreciate you bringing this to our attention. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
wifi issue informed that there is issue,"Thank you for your patience. For your connection concern, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
BT related call enquiry,"We appreciate you bringing this to our attention. Our team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17510644 sim got expired,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"Leasedline issue 5.10955 Padtselling Vajrana Dharma Centre,Taba 17669100","Apologies for the disruption. For your connection concern, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17318366 sim expired informed to reactive,"We understand this can be frustrating. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
wrong number,"We regret the trouble caused. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Sim number 17598681 is expired,"We appreciate you bringing this to our attention. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
number given,"Thank you for your patience. Support has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
17361420-unlocked bngyel and reset mpin,"We regret the trouble caused. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
She said she will call back after clearing bill,"We understand this can be frustrating. Our internet support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
enquiry number,"We appreciate you bringing this to our attention. Support has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
LL upgrade inquiry,"Thank you for your patience. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
inform abt apn setting,"Sorry this happened. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
ISP020893...Bill enquire,"We understand this can be frustrating. For your connection concern, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
kids calling,"We hear you, and we are here to help. Support has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
enquiry on lost phone location tracing,"Your concern is valid, and we are checking it now. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Informed to download BT app to convert main balance to data,"We hear you, and we are here to help. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Sim replacement info,"Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
ISP020893 Bill enquery,"We hear you, and we are here to help. For your connection concern, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
sim address check,"We regret the trouble caused. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"97517691261, suggested replacement","Your concern is valid, and we are checking it now. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
9752333377 and 9752333388-Line dead Location-Bhutan Suites near Rinchecn Kuenphen Customers no- 17122253,"Your concern is valid, and we are checking it now. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
scam call enquery,"We regret the trouble caused. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Talktime to data convert,"We regret the trouble caused. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"vivo package,inform to damphu counter","We understand this can be frustrating. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Iphone enquiry,"Apologies for the disruption. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Namgay Lhamo_17615695|3Mbps|5.14912** Internet works at Night , but its slow during day since day before yesterday",Thanks for reporting this. Our internet support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
no.enquery,"We understand this can be frustrating. We already have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Sim expired.,"Apologies for the disruption. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
enquiry abt bills,"Thank you for your patience. Our internet support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
sim found suspended she said she will call back,"Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
call forwarded to sir Om Raj.,"Your concern is valid, and we are checking it now. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Inquiry about Telegram app,"Sorry this happened. We have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
leased line shifting,"Your concern is valid, and we are checking it now. Our internet support team has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
17596393 sim unblock butnot in her name,"Thank you for your patience. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
*180# DIAL,"We understand your concern. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Sim damaged,"Sorry this happened. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Guided with APN setting,"Thank you for your patience. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
enquiring on bonus on tshechu,"Apologies for the disruption. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Inquiry about whatsapp,"We understand this can be frustrating. We already have reviewed the account and app behavior on your case. Please update the app and try again; if it continues, share a screenshot and registered number for deeper diagnosis."
sim enquiry.,"We appreciate you bringing this to our attention. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"Chhimi Wangmo_17343584|3Mbps|5.15722 Lease line issue, Location at Simtokha, customer number 17343584","Apologies for the disruption. For internet service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Bill inquiry,"Your concern is valid, and we are checking it now. Our internet support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
enquiry abt location tracing,"We regret the trouble caused. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
pin reset enquery,"We appreciate you bringing this to our attention. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
5G activated,"Apologies for the disruption. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Mistakenly paid LL payment for different user. Provided with contact number and informed to ask if they can pay for his LL,"Apologies for the disruption. Regarding your internet issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
APN settings,"Sorry this happened. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Post paid data pack enquiry,"We understand this can be frustrating. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
new connection,"We understand this can be frustrating. Regarding your internet issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
enquiring on new sim,"We understand your concern. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
DATA PLAN CHECK,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Tourist sim outgoing and incoming call issue and internet issue;17219787/17218738 Purchased from Thimphu shop last 3 days ago and still not working kindly check la. Guide number;17353813,"We regret the trouble caused. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Inquiry about office timing,"We understand your concern. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
bill info,"Sorry this happened. For internet service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
voucher credit expired,"We hear you, and we are here to help. Our mobile support team has checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
cannot be connected related call,"We hear you, and we are here to help. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim retaintion enquiry,"Your concern is valid, and we are checking it now. Support has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Broadband Issue dnet02336696pos Chubachu 17117793,"Thanks for reporting this. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Inquiry about scam call,"We appreciate you bringing this to our attention. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
SIM ACTIVE FROM HERE,"Thank you for your patience. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Leaseline refresh The View Restaurent_17284270| 3Mbps 5.13385| Still not working Location; Swimming pool Contact;77385903,"We understand your concern. Our internet support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Freeze data 299 from 17946665, reverse to 17251197","Your concern is valid, and we are checking it now. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Talktime to data transfer,"Sorry this happened. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Validity checked.,"Your concern is valid, and we are checking it now. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
SIM NUMBER CHECK,"Sorry this happened. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
enquiring on Thimphu tshechu bonus,"Thanks for reporting this. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
disturbance sound popping,"Thanks for reporting this. Support has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Inquiry about Iphone stock,"Your concern is valid, and we are checking it now. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
49 package notification inquiry,"Thanks for reporting this. For your mobile request, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
"17112615, followed with billing and Core, all good from their end, asked customer try sim in another device","Thank you for your patience. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Tourist sim data package enquiry,"Thank you for your patience. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
APN SETTING,"Thanks for reporting this. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"3G sim,informed to replace to 4G","Your concern is valid, and we are checking it now. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
97517127071 SIM STATUS ENQUERY,"We regret the trouble caused. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"Freeze 1199 from 17989400, reverse to 17717092","Thank you for your patience. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Asking if there is any bonus coming,"Sorry this happened. We have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
scammer call 17595142,"Thanks for reporting this. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Line dead ;02322322/330330,"We regret the trouble caused. Our team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
5G activation done,"We regret the trouble caused. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"incoming coming as not reachable,informed to visit BT office","We understand your concern. Our mobile support team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
WHATSHAP ISSUE,"We hear you, and we are here to help. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Inquiry about sim status of 17122900,"Apologies for the disruption. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
sim expired,"We regret the trouble caused. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"SIM EXPIRE,INF TO REPLACE SIM","Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
E-SIMenquiry,"Your concern is valid, and we are checking it now. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
